Row,F0_Rate,Dur_Rate,F0_Rep_Position,Dur_Rep_Position,F0_Rep_Val,Dur_Rep_Val
tones_pitch2_dur3_1_1_1.flac,2,3,3,1,2,1
tones_pitch2_dur3_1_1_2.flac,2,3,5,1,2,2
tones_pitch2_dur3_1_1_3.flac,2,3,3,1,1,1
tones_pitch2_dur3_1_1_4.flac,2,3,1,1,1,2
tones_pitch2_dur3_1_1_5.flac,2,3,4,3,1,2
tones_pitch2_dur3_1_1_6.flac,2,3,1,2,1,2
tones_pitch2_dur3_1_1_7.flac,2,3,2,1,2,1
tones_pitch2_dur3_1_1_8.flac,2,3,3,1,2,1
tones_pitch2_dur3_1_0_1.flac,2,3,5,0,1,0
tones_pitch2_dur3_1_0_2.flac,2,3,2,0,1,0
tones_pitch2_dur3_1_0_3.flac,2,3,4,0,2,0
tones_pitch2_dur3_1_0_4.flac,2,3,4,0,1,0
tones_pitch2_dur3_1_0_5.flac,2,3,4,0,2,0
tones_pitch2_dur3_1_0_6.flac,2,3,3,0,1,0
tones_pitch2_dur3_1_0_7.flac,2,3,4,0,2,0
tones_pitch2_dur3_1_0_8.flac,2,3,2,0,2,0
tones_pitch2_dur3_0_1_1.flac,2,3,0,2,0,1
tones_pitch2_dur3_0_1_2.flac,2,3,0,1,0,2
tones_pitch2_dur3_0_1_3.flac,2,3,0,1,0,2
tones_pitch2_dur3_0_1_4.flac,2,3,0,1,0,1
tones_pitch2_dur3_0_1_5.flac,2,3,0,1,0,1
tones_pitch2_dur3_0_1_6.flac,2,3,0,1,0,1
tones_pitch2_dur3_0_1_7.flac,2,3,0,3,0,2
tones_pitch2_dur3_0_1_8.flac,2,3,0,2,0,2
tones_pitch2_dur3_0_0_1.flac,2,3,0,0,0,0
tones_pitch2_dur3_0_0_2.flac,2,3,0,0,0,0
tones_pitch2_dur3_0_0_3.flac,2,3,0,0,0,0
tones_pitch2_dur3_0_0_4.flac,2,3,0,0,0,0
tones_pitch2_dur3_0_0_5.flac,2,3,0,0,0,0
tones_pitch2_dur3_0_0_6.flac,2,3,0,0,0,0
tones_pitch2_dur3_0_0_7.flac,2,3,0,0,0,0
tones_pitch2_dur3_0_0_8.flac,2,3,0,0,0,0
tones_pitch3_dur2_1_1_1.flac,3,2,1,4,1,2
tones_pitch3_dur2_1_1_2.flac,3,2,1,2,2,2
tones_pitch3_dur2_1_1_3.flac,3,2,1,5,1,1
tones_pitch3_dur2_1_1_4.flac,3,2,3,2,2,1
tones_pitch3_dur2_1_1_5.flac,3,2,1,3,2,1
tones_pitch3_dur2_1_1_6.flac,3,2,2,1,1,2
tones_pitch3_dur2_1_1_7.flac,3,2,1,4,1,2
tones_pitch3_dur2_1_1_8.flac,3,2,1,2,2,1
tones_pitch3_dur2_1_0_1.flac,3,2,3,0,1,0
tones_pitch3_dur2_1_0_2.flac,3,2,1,0,2,0
tones_pitch3_dur2_1_0_3.flac,3,2,1,0,2,0
tones_pitch3_dur2_1_0_4.flac,3,2,2,0,2,0
tones_pitch3_dur2_1_0_5.flac,3,2,1,0,1,0
tones_pitch3_dur2_1_0_6.flac,3,2,2,0,1,0
tones_pitch3_dur2_1_0_7.flac,3,2,1,0,2,0
tones_pitch3_dur2_1_0_8.flac,3,2,1,0,1,0
tones_pitch3_dur2_0_1_1.flac,3,2,0,3,0,2
tones_pitch3_dur2_0_1_2.flac,3,2,0,1,0,1
tones_pitch3_dur2_0_1_3.flac,3,2,0,4,0,1
tones_pitch3_dur2_0_1_4.flac,3,2,0,5,0,2
tones_pitch3_dur2_0_1_5.flac,3,2,0,4,0,1
tones_pitch3_dur2_0_1_6.flac,3,2,0,2,0,2
tones_pitch3_dur2_0_1_7.flac,3,2,0,1,0,2
tones_pitch3_dur2_0_1_8.flac,3,2,0,3,0,1
tones_pitch3_dur2_0_0_1.flac,3,2,0,0,0,0
tones_pitch3_dur2_0_0_2.flac,3,2,0,0,0,0
tones_pitch3_dur2_0_0_3.flac,3,2,0,0,0,0
tones_pitch3_dur2_0_0_4.flac,3,2,0,0,0,0
tones_pitch3_dur2_0_0_5.flac,3,2,0,0,0,0
tones_pitch3_dur2_0_0_6.flac,3,2,0,0,0,0
tones_pitch3_dur2_0_0_7.flac,3,2,0,0,0,0
tones_pitch3_dur2_0_0_8.flac,3,2,0,0,0,0
