Row,F0_Rate,Dur_Rate,F0_Rep_Position,Dur_Rep_Position,F0_Rep_Val,Dur_Rep_Val
training_tones_pitch2_dur0_1_0_1.flac,2,0,3,0,1,0
training_tones_pitch2_dur0_1_0_2.flac,2,0,4,0,2,0
training_tones_pitch2_dur0_1_0_3.flac,2,0,4,0,1,0
training_tones_pitch2_dur0_1_0_4.flac,2,0,5,0,2,0
training_tones_pitch0_dur3_0_1_1.flac,0,3,0,1,0,2
training_tones_pitch0_dur3_0_1_2.flac,0,3,0,3,0,1
training_tones_pitch0_dur3_0_1_3.flac,0,3,0,3,0,2
training_tones_pitch0_dur3_0_1_4.flac,0,3,0,1,0,1
training_tones_pitch2_dur0_0_0_1.flac,2,0,0,0,0,0
training_tones_pitch2_dur0_0_0_2.flac,2,0,0,0,0,0
training_tones_pitch2_dur0_0_0_3.flac,2,0,0,0,0,0
training_tones_pitch2_dur0_0_0_4.flac,2,0,0,0,0,0
training_tones_pitch0_dur3_0_0_1.flac,0,3,0,0,0,0
training_tones_pitch0_dur3_0_0_2.flac,0,3,0,0,0,0
training_tones_pitch0_dur3_0_0_3.flac,0,3,0,0,0,0
training_tones_pitch0_dur3_0_0_4.flac,0,3,0,0,0,0
training_tones_pitch3_dur0_1_0_1.flac,3,0,3,0,2,0
training_tones_pitch3_dur0_1_0_2.flac,3,0,1,0,2,0
training_tones_pitch3_dur0_1_0_3.flac,3,0,1,0,1,0
training_tones_pitch3_dur0_1_0_4.flac,3,0,3,0,1,0
training_tones_pitch0_dur2_0_1_1.flac,0,2,0,1,0,1
training_tones_pitch0_dur2_0_1_2.flac,0,2,0,4,0,1
training_tones_pitch0_dur2_0_1_3.flac,0,2,0,3,0,2
training_tones_pitch0_dur2_0_1_4.flac,0,2,0,4,0,2
training_tones_pitch3_dur0_0_0_1.flac,3,0,0,0,0,0
training_tones_pitch3_dur0_0_0_2.flac,3,0,0,0,0,0
training_tones_pitch3_dur0_0_0_3.flac,3,0,0,0,0,0
training_tones_pitch3_dur0_0_0_4.flac,3,0,0,0,0,0
training_tones_pitch0_dur2_0_0_1.flac,0,2,0,0,0,0
training_tones_pitch0_dur2_0_0_2.flac,0,2,0,0,0,0
training_tones_pitch0_dur2_0_0_3.flac,0,2,0,0,0,0
training_tones_pitch0_dur2_0_0_4.flac,0,2,0,0,0,0
