Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,instructions
1,1692376133870,18/08/2023 16:28:53,1692376133780,1,18/08/2023 17:28:53,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1692376137232,18/08/2023 16:28:57,1692376137171,1,18/08/2023 17:28:57,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,1,1,1,tapping 1,advancementZone,continue_button,3046.199999999255,,,,,0,1,0,,,,,,instructions,,
3,1692376139036,18/08/2023 16:28:59,1692376138904,1,18/08/2023 17:28:58,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,1,1,2,tapping 2,Zone1,content_audio,1724.1000000014901,,,AUDIO STARTED,1,0,1,0,,,,,,instructions,,
4,1692376140510,18/08/2023 16:29:00,1692376140404,1,18/08/2023 17:29:00,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,1,1,2,tapping 2,Zone2,response_keyboard_single,3223.39999999851,,,j,1,0,1,0,,,,,,instructions,,
5,1692376143999,18/08/2023 16:29:03,1692376143907,1,18/08/2023 17:29:03,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,1,1,2,tapping 2,Zone2,response_keyboard_single,6726.39999999851,,,j,2,0,1,0,,,,,,instructions,,
6,1692376144522,18/08/2023 16:29:04,1692376144453,1,18/08/2023 17:29:04,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,1,1,2,tapping 2,Zone2,response_keyboard_single,7272.10000000149,,,j,3,0,1,0,,,,,,instructions,,
7,1692376145088,18/08/2023 16:29:05,1692376144979,1,18/08/2023 17:29:04,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,1,1,2,tapping 2,Zone2,response_keyboard_single,7799.10000000149,,,j,4,0,1,0,,,,,,instructions,,
8,1692376145546,18/08/2023 16:29:05,1692376145471,1,18/08/2023 17:29:05,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,1,1,2,tapping 2,Zone2,response_keyboard_single,8290.60000000149,,,j,5,0,1,0,,,,,,instructions,,
9,1692376146008,18/08/2023 16:29:06,1692376145935,1,18/08/2023 17:29:05,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,1,1,2,tapping 2,Zone2,response_keyboard_single,8754.39999999851,,,j,6,0,1,0,,,,,,instructions,,
10,1692376147761,18/08/2023 16:29:07,1692376147705,1,18/08/2023 17:29:07,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,1,1,2,tapping 2,advancementZone,continue_button,10523,,,,,0,1,0,,,,,,instructions,,
11,1692376148524,18/08/2023 16:29:08,1692376148453,1,18/08/2023 17:29:08,0,0,,,31248542,,9262910,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1218x714,,,,Tapping Paradigm,2,Spreadsheet1,Spreadsheet1,1,1,3,summary,advancementZone,continue_button,743.6000000014901,,,,,0,1,0,,,,,,instructions,,
